time (s),A0 (V),A1 (V),B0 (V),B1 (V),O0 (V),O1 (V),O2 (V),O3 (V),V01 (V),V2 (V),V3 (V)
0.000,0.000,0.000,0.000,0.000,423.5E-9,422.9E-9,420.8E-9,134.5E-9,51.79E-9,52.26E-9,52.55E-9
11.27E-12,67.62E-3,67.62E-3,67.62E-3,67.62E-3,5.012E-6,4.888E-6,4.371E-6,2.728E-6,2.069E-6,2.167E-6,2.234E-6
22.11E-12,132.7E-3,132.7E-3,132.7E-3,132.7E-3,8.297E-6,7.992E-6,6.946E-6,4.619E-6,3.561E-6,3.756E-6,3.881E-6
35.75E-12,214.5E-3,214.5E-3,214.5E-3,214.5E-3,12.11E-6,11.60E-6,9.888E-6,6.814E-6,5.277E-6,5.579E-6,5.774E-6
49.17E-12,295.0E-3,295.0E-3,295.0E-3,295.0E-3,15.23E-6,14.55E-6,12.29E-6,8.656E-6,6.724E-6,7.108E-6,7.363E-6
63.00E-12,378.0E-3,378.0E-3,378.0E-3,378.0E-3,18.12E-6,17.30E-6,14.57E-6,10.48E-6,8.142E-6,8.605E-6,8.920E-6
74.68E-12,448.1E-3,448.1E-3,448.1E-3,448.1E-3,20.92E-6,19.99E-6,16.88E-6,12.39E-6,9.574E-6,10.12E-6,10.49E-6
83.85E-12,503.1E-3,503.1E-3,503.1E-3,503.1E-3,23.81E-6,22.79E-6,19.42E-6,14.61E-6,11.19E-6,11.81E-6,12.24E-6
93.77E-12,562.6E-3,562.6E-3,562.6E-3,562.6E-3,28.67E-6,27.56E-6,23.89E-6,18.68E-6,14.05E-6,14.80E-6,15.33E-6
101.5E-12,608.8E-3,608.8E-3,608.8E-3,608.8E-3,34.62E-6,33.43E-6,29.51E-6,23.89E-6,17.60E-6,18.54E-6,19.19E-6
109.1E-12,654.4E-3,654.4E-3,654.4E-3,654.4E-3,43.87E-6,42.57E-6,38.32E-6,31.98E-6,23.00E-6,24.27E-6,25.09E-6
114.7E-12,687.9E-3,687.9E-3,687.9E-3,687.9E-3,53.52E-6,52.11E-6,47.49E-6,40.38E-6,28.59E-6,30.19E-6,31.20E-6
118.9E-12,713.5E-3,713.5E-3,713.5E-3,713.5E-3,62.70E-6,61.18E-6,56.18E-6,48.38E-6,33.92E-6,35.82E-6,37.02E-6
124.6E-12,747.6E-3,747.6E-3,747.6E-3,747.6E-3,77.37E-6,75.67E-6,70.05E-6,61.25E-6,42.50E-6,44.84E-6,46.32E-6
128.7E-12,772.4E-3,772.4E-3,772.4E-3,772.4E-3,89.85E-6,87.99E-6,81.85E-6,72.25E-6,49.81E-6,52.50E-6,54.23E-6
134.3E-12,806.0E-3,806.0E-3,806.0E-3,806.0E-3,109.2E-6,107.1E-6,100.1E-6,89.33E-6,61.14E-6,64.36E-6,66.46E-6
138.5E-12,830.8E-3,830.8E-3,830.8E-3,830.8E-3,125.0E-6,122.6E-6,115.0E-6,103.3E-6,70.46E-6,74.10E-6,76.50E-6
142.5E-12,854.8E-3,854.8E-3,854.8E-3,854.8E-3,141.1E-6,138.6E-6,130.3E-6,117.8E-6,80.26E-6,84.20E-6,86.90E-6
145.8E-12,874.6E-3,874.6E-3,874.6E-3,874.6E-3,154.8E-6,152.1E-6,143.1E-6,130.0E-6,89.19E-6,92.87E-6,95.81E-6
150.2E-12,901.1E-3,901.1E-3,901.1E-3,901.1E-3,173.3E-6,170.3E-6,160.5E-6,146.7E-6,104.4E-6,104.9E-6,108.2E-6
154.1E-12,924.6E-3,924.6E-3,924.6E-3,924.6E-3,189.7E-6,186.4E-6,175.7E-6,161.4E-6,125.2E-6,116.0E-6,119.6E-6
157.6E-12,945.9E-3,945.9E-3,945.9E-3,945.9E-3,204.1E-6,200.5E-6,189.0E-6,174.1E-6,151.7E-6,126.3E-6,130.3E-6
161.2E-12,967.4E-3,967.4E-3,967.4E-3,967.4E-3,218.4E-6,214.6E-6,202.1E-6,186.6E-6,184.9E-6,137.6E-6,142.3E-6
164.8E-12,988.7E-3,988.7E-3,988.7E-3,988.7E-3,232.4E-6,228.3E-6,214.8E-6,198.4E-6,226.2E-6,150.2E-6,156.6E-6
166.5E-12,999.2E-3,999.2E-3,999.2E-3,999.2E-3,239.4E-6,235.1E-6,221.0E-6,204.1E-6,251.5E-6,157.6E-6,165.3E-6
167.7E-12,1.006,1.006,1.006,1.006,244.1E-6,239.7E-6,225.3E-6,207.9E-6,271.6E-6,163.3E-6,172.2E-6
169.4E-12,1.016,1.016,1.016,1.016,250.5E-6,246.0E-6,230.9E-6,213.1E-6,299.0E-6,172.0E-6,182.6E-6
170.6E-12,1.023,1.023,1.023,1.023,255.1E-6,250.4E-6,234.9E-6,216.7E-6,316.5E-6,179.0E-6,190.7E-6
171.9E-12,1.031,1.031,1.031,1.031,260.3E-6,255.5E-6,239.5E-6,220.9E-6,331.0E-6,187.5E-6,200.7E-6
172.6E-12,1.036,1.036,1.036,1.036,263.3E-6,258.4E-6,242.2E-6,223.2E-6,330.9E-6,192.3E-6,206.5E-6
173.5E-12,1.041,1.041,1.041,1.041,266.9E-6,261.9E-6,245.3E-6,226.0E-6,301.8E-6,198.2E-6,213.5E-6
174.3E-12,1.046,1.046,1.046,1.046,270.3E-6,265.2E-6,248.3E-6,228.6E-6,229.7E-6,203.9E-6,220.3E-6
175.5E-12,1.053,1.053,1.053,1.053,275.4E-6,270.2E-6,252.8E-6,232.4E-6,41.80E-6,212.8E-6,231.2E-6
176.7E-12,1.060,1.060,1.060,1.060,280.3E-6,275.0E-6,257.0E-6,236.2E-6,-205.6E-6,221.8E-6,242.5E-6
177.8E-12,1.067,1.067,1.067,1.067,284.5E-6,279.0E-6,260.6E-6,239.4E-6,-454.5E-6,230.2E-6,253.2E-6
179.0E-12,1.074,1.074,1.074,1.074,289.1E-6,283.5E-6,264.6E-6,243.0E-6,-761.2E-6,240.0E-6,266.4E-6
180.7E-12,1.084,1.084,1.084,1.084,294.9E-6,289.2E-6,269.5E-6,247.4E-6,-1.186E-3,253.9E-6,286.0E-6
182.9E-12,1.097,1.097,1.097,1.097,301.6E-6,295.7E-6,275.1E-6,252.5E-6,-1.651E-3,273.3E-6,315.7E-6
184.7E-12,1.108,1.108,1.108,1.108,306.5E-6,300.4E-6,279.1E-6,256.0E-6,-1.658E-3,291.3E-6,342.1E-6
186.2E-12,1.117,1.117,1.117,1.117,309.9E-6,303.7E-6,281.9E-6,258.5E-6,-1.066E-3,307.6E-6,361.6E-6
187.5E-12,1.125,1.125,1.125,1.125,312.6E-6,306.4E-6,284.1E-6,260.4E-6,150.1E-6,323.8E-6,375.4E-6
188.3E-12,1.130,1.130,1.130,1.130,314.3E-6,308.1E-6,285.5E-6,261.5E-6,1.223E-3,333.7E-6,376.5E-6
189.3E-12,1.136,1.136,1.136,1.136,316.1E-6,309.9E-6,287.0E-6,262.7E-6,2.741E-3,344.7E-6,348.0E-6
190.1E-12,1.141,1.141,1.141,1.141,317.7E-6,311.5E-6,288.2E-6,263.7E-6,4.306E-3,353.7E-6,276.4E-6
191.3E-12,1.148,1.148,1.148,1.148,319.8E-6,313.6E-6,289.9E-6,264.9E-6,6.776E-3,364.1E-6,105.7E-6
192.2E-12,1.153,1.153,1.153,1.153,321.5E-6,315.3E-6,291.3E-6,265.8E-6,8.993E-3,366.1E-6,-75.20E-6
193.2E-12,1.159,1.159,1.159,1.159,323.3E-6,317.0E-6,292.8E-6,266.7E-6,11.47E-3,344.0E-6,-287.4E-6
194.2E-12,1.165,1.165,1.165,1.165,325.0E-6,318.7E-6,294.1E-6,267.6E-6,13.98E-3,278.1E-6,-504.2E-6
195.3E-12,1.172,1.172,1.172,1.172,327.1E-6,320.7E-6,295.8E-6,268.6E-6,17.25E-3,131.1E-6,-785.7E-6
196.5E-12,1.179,1.179,1.179,1.179,329.2E-6,322.7E-6,297.4E-6,269.6E-6,20.76E-3,-73.14E-6,-1.080E-3
197.7E-12,1.186,1.186,1.186,1.186,331.2E-6,324.5E-6,298.9E-6,270.5E-6,24.38E-3,-310.5E-6,-1.365E-3
199.0E-12,1.194,1.194,1.194,1.194,333.4E-6,326.7E-6,300.7E-6,271.5E-6,28.70E-3,-612.8E-6,-1.630E-3
200.0E-12,1.200,1.200,1.200,1.200,335.0E-6,328.2E-6,302.0E-6,272.3E-6,31.93E-3,-845.8E-6,-1.713E-3
201.0E-12,1.200,1.200,1.200,1.200,335.6E-6,328.7E-6,302.3E-6,272.6E-6,35.39E-3,-1.096E-3,-1.463E-3
202.6E-12,1.200,1.200,1.200,1.200,336.8E-6,329.7E-6,303.0E-6,273.1E-6,40.46E-3,-1.441E-3,-697.8E-6
204.1E-12,1.200,1.200,1.200,1.200,338.4E-6,331.1E-6,304.2E-6,273.9E-6,45.68E-3,-1.676E-3,902.8E-6
206.1E-12,1.200,1.200,1.200,1.200,340.3E-6,332.4E-6,305.6E-6,275.0E-6,52.68E-3,-1.363E-3,4.227E-3
208.5E-12,1.200,1.200,1.200,1.200,342.5E-6,333.7E-6,307.4E-6,276.4E-6,60.80E-3,530.4E-6,9.401E-3
211.1E-12,1.200,1.200,1.200,1.200,344.8E-6,334.7E-6,309.3E-6,278.1E-6,69.91E-3,4.745E-3,16.38E-3
213.6E-12,1.200,1.200,1.200,1.200,347.0E-6,335.5E-6,311.3E-6,279.9E-6,78.68E-3,10.45E-3,23.89E-3
216.4E-12,1.200,1.200,1.200,1.200,349.3E-6,335.5E-6,313.7E-6,281.9E-6,88.79E-3,18.36E-3,33.16E-3
219.4E-12,1.200,1.200,1.200,1.200,350.6E-6,334.8E-6,315.8E-6,283.6E-6,99.11E-3,27.41E-3,43.03E-3
221.9E-12,1.200,1.200,1.200,1.200,351.2E-6,338.3E-6,317.2E-6,284.7E-6,107.8E-3,35.55E-3,51.58E-3
224.2E-12,1.200,1.200,1.200,1.200,351.0E-6,353.2E-6,318.0E-6,285.2E-6,116.0E-3,43.39E-3,59.66E-3
226.6E-12,1.200,1.200,1.200,1.200,350.7E-6,388.6E-6,318.6E-6,285.4E-6,124.5E-3,51.76E-3,68.18E-3
229.3E-12,1.200,1.200,1.200,1.200,350.1E-6,457.6E-6,318.8E-6,285.1E-6,133.9E-3,61.12E-3,77.63E-3
231.3E-12,1.200,1.200,1.200,1.200,350.0E-6,528.9E-6,318.6E-6,284.5E-6,140.8E-3,68.03E-3,84.58E-3
234.1E-12,1.200,1.200,1.200,1.200,354.9E-6,654.1E-6,317.5E-6,283.0E-6,150.4E-3,77.64E-3,94.20E-3
236.6E-12,1.200,1.200,1.200,1.200,376.9E-6,725.8E-6,316.0E-6,281.3E-6,159.1E-3,86.50E-3,103.1E-3
238.8E-12,1.200,1.200,1.200,1.200,425.7E-6,519.9E-6,315.5E-6,280.3E-6,166.7E-3,94.17E-3,110.7E-3
240.7E-12,1.200,1.200,1.200,1.200,497.7E-6,-17.47E-6,316.1E-6,279.8E-6,173.4E-3,101.0E-3,117.5E-3
242.2E-12,1.200,1.200,1.200,1.200,570.3E-6,-644.9E-6,316.7E-6,279.3E-6,178.7E-3,106.3E-3,122.9E-3
244.5E-12,1.200,1.200,1.200,1.200,697.4E-6,-1.753E-3,317.4E-6,278.3E-6,186.4E-3,114.1E-3,130.6E-3
246.1E-12,1.200,1.200,1.200,1.200,779.3E-6,-2.640E-3,317.8E-6,277.4E-6,192.1E-3,119.9E-3,136.4E-3
248.0E-12,1.200,1.200,1.200,1.200,696.5E-6,-3.672E-3,319.1E-6,276.7E-6,198.7E-3,126.6E-3,143.1E-3
249.8E-12,1.200,1.200,1.200,1.200,326.9E-6,-4.503E-3,320.8E-6,276.3E-6,204.6E-3,132.6E-3,149.1E-3
251.2E-12,1.200,1.200,1.200,1.200,-190.9E-6,-5.043E-3,322.2E-6,276.0E-6,209.5E-3,137.6E-3,154.1E-3
252.9E-12,1.200,1.200,1.200,1.200,-961.6E-6,-5.303E-3,323.2E-6,275.2E-6,215.3E-3,143.5E-3,159.9E-3
254.5E-12,1.200,1.200,1.200,1.200,-1.796E-3,-4.988E-3,323.5E-6,274.1E-6,220.8E-3,149.0E-3,165.5E-3
256.1E-12,1.200,1.200,1.200,1.200,-2.676E-3,-3.975E-3,323.3E-6,272.9E-6,226.3E-3,154.7E-3,171.1E-3
257.8E-12,1.200,1.200,1.200,1.200,-3.579E-3,-2.162E-3,322.6E-6,271.5E-6,232.0E-3,160.5E-3,176.9E-3
259.4E-12,1.200,1.200,1.200,1.200,-4.387E-3,287.8E-6,321.5E-6,269.9E-6,237.6E-3,166.1E-3,182.5E-3
262.1E-12,1.200,1.200,1.200,1.200,-5.198E-3,5.515E-3,318.7E-6,267.1E-6,246.7E-3,175.4E-3,191.7E-3
264.5E-12,1.200,1.200,1.200,1.200,-4.813E-3,11.37E-3,314.8E-6,264.0E-6,255.1E-3,183.9E-3,200.2E-3
267.1E-12,1.200,1.200,1.200,1.200,-2.709E-3,18.19E-3,309.7E-6,260.4E-6,263.8E-3,192.8E-3,209.1E-3
269.5E-12,1.200,1.200,1.200,1.200,837.1E-6,24.98E-3,304.3E-6,256.8E-6,272.0E-3,201.1E-3,217.3E-3
272.2E-12,1.200,1.200,1.200,1.200,6.236E-3,32.83E-3,298.0E-6,252.8E-6,281.0E-3,210.3E-3,226.5E-3
275.2E-12,1.200,1.200,1.200,1.200,13.39E-3,41.62E-3,291.4E-6,248.3E-6,290.9E-3,220.4E-3,236.6E-3
277.9E-12,1.200,1.200,1.200,1.200,20.74E-3,49.85E-3,285.8E-6,244.4E-6,300.1E-3,229.7E-3,245.8E-3
280.7E-12,1.200,1.200,1.200,1.200,28.74E-3,58.39E-3,280.9E-6,240.6E-6,309.5E-3,239.3E-3,255.4E-3
283.1E-12,1.200,1.200,1.200,1.200,35.92E-3,65.90E-3,277.4E-6,237.6E-6,317.7E-3,247.6E-3,263.7E-3
285.6E-12,1.200,1.200,1.200,1.200,43.35E-3,73.58E-3,274.1E-6,234.7E-6,326.1E-3,256.2E-3,272.2E-3
288.4E-12,1.200,1.200,1.200,1.200,51.66E-3,82.13E-3,270.6E-6,231.3E-6,335.4E-3,265.7E-3,281.6E-3
291.3E-12,1.200,1.200,1.200,1.200,60.22E-3,90.88E-3,266.9E-6,227.7E-6,344.9E-3,275.3E-3,291.3E-3
294.1E-12,1.200,1.200,1.200,1.200,68.86E-3,99.56E-3,262.9E-6,223.9E-6,354.3E-3,284.9E-3,300.8E-3
297.5E-12,1.200,1.200,1.200,1.200,79.86E-3,109.7E-3,257.5E-6,219.1E-6,365.2E-3,296.1E-3,311.9E-3
300.7E-12,1.200,1.200,1.200,1.200,92.61E-3,119.5E-3,251.3E-6,213.9E-6,375.8E-3,306.9E-3,322.8E-3
303.6E-12,1.200,1.200,1.200,1.200,106.2E-3,128.4E-3,244.9E-6,209.0E-6,385.4E-3,316.7E-3,332.5E-3
306.5E-12,1.200,1.200,1.200,1.200,121.1E-3,137.1E-3,238.4E-6,204.2E-6,394.8E-3,326.3E-3,342.0E-3
309.3E-12,1.200,1.200,1.200,1.200,136.6E-3,145.5E-3,232.2E-6,199.5E-6,404.0E-3,335.6E-3,351.3E-3
312.5E-12,1.200,1.200,1.200,1.200,154.9E-3,155.2E-3,225.5E-6,194.2E-6,414.3E-3,346.2E-3,361.9E-3
316.0E-12,1.200,1.200,1.200,1.200,175.5E-3,165.7E-3,218.6E-6,188.5E-6,425.7E-3,357.8E-3,373.4E-3
319.9E-12,1.200,1.200,1.200,1.200,198.3E-3,177.3E-3,211.4E-6,182.4E-6,438.1E-3,370.5E-3,386.1E-3
324.3E-12,1.200,1.200,1.200,1.200,224.5E-3,190.6E-3,203.5E-6,175.5E-6,452.3E-3,385.1E-3,400.6E-3
329.8E-12,1.200,1.200,1.200,1.200,257.0E-3,207.1E-3,194.2E-6,167.3E-6,470.0E-3,403.1E-3,418.5E-3
337.0E-12,1.200,1.200,1.200,1.200,298.9E-3,228.4E-3,182.8E-6,157.0E-6,492.7E-3,426.3E-3,441.6E-3
347.0E-12,1.200,1.200,1.200,1.200,356.9E-3,258.1E-3,167.9E-6,143.7E-6,524.1E-3,458.6E-3,473.7E-3
360.0E-12,1.200,1.200,1.200,1.200,430.2E-3,296.1E-3,150.5E-6,128.0E-6,564.1E-3,499.7E-3,514.6E-3
375.5E-12,1.200,1.200,1.200,1.200,515.7E-3,341.0E-3,132.1E-6,111.5E-6,611.0E-3,547.9E-3,562.5E-3
394.8E-12,1.200,1.200,1.200,1.200,618.6E-3,396.1E-3,112.6E-6,93.96E-6,667.6E-3,606.5E-3,620.7E-3
417.0E-12,1.200,1.200,1.200,1.200,731.1E-3,458.5E-3,94.15E-6,77.30E-6,730.4E-3,671.8E-3,685.5E-3
446.6E-12,1.200,1.200,1.200,1.200,864.3E-3,539.5E-3,75.54E-6,60.13E-6,808.7E-3,754.3E-3,767.1E-3
471.6E-12,1.200,1.200,1.200,1.200,957.4E-3,606.1E-3,63.95E-6,49.12E-6,869.5E-3,819.3E-3,831.2E-3
498.0E-12,1.200,1.200,1.200,1.200,1.034,674.4E-3,54.41E-6,40.00E-6,927.1E-3,882.2E-3,893.0E-3
535.4E-12,1.200,1.200,1.200,1.200,1.107,766.3E-3,43.61E-6,30.06E-6,996.7E-3,959.8E-3,968.8E-3
587.1E-12,1.200,1.200,1.200,1.200,1.161,879.7E-3,32.05E-6,20.35E-6,1.069,1.043,1.050
630.2E-12,1.200,1.200,1.200,1.200,1.182,959.0E-3,24.71E-6,14.80E-6,1.112,1.093,1.098
676.1E-12,1.200,1.200,1.200,1.200,1.192,1.027,18.78E-6,10.63E-6,1.143,1.130,1.134
726.5E-12,1.200,1.200,1.200,1.200,1.197,1.082,13.95E-6,7.468E-6,1.165,1.157,1.159
791.6E-12,1.200,1.200,1.200,1.200,1.199,1.131,9.525E-6,4.798E-6,1.182,1.178,1.179
870.4E-12,1.200,1.200,1.200,1.200,1.200,1.165,5.993E-6,2.855E-6,1.192,1.190,1.191
955.7E-12,1.200,1.200,1.200,1.200,1.200,1.184,3.660E-6,1.682E-6,1.197,1.196,1.196
1.048E-9,1.200,1.200,1.200,1.200,1.200,1.193,2.218E-6,1.002E-6,1.199,1.199,1.199
1.155E-9,1.200,1.200,1.200,1.200,1.200,1.197,1.375E-6,622.0E-9,1.200,1.200,1.200
1.287E-9,1.200,1.200,1.200,1.200,1.200,1.199,907.1E-9,412.8E-9,1.200,1.200,1.200
1.464E-9,1.200,1.200,1.200,1.200,1.200,1.200,701.4E-9,317.6E-9,1.200,1.200,1.200
1.715E-9,1.200,1.200,1.200,1.200,1.200,1.200,612.1E-9,267.0E-9,1.200,1.200,1.200
2.108E-9,1.200,1.200,1.200,1.200,1.200,1.200,569.6E-9,237.3E-9,1.200,1.200,1.200
2.723E-9,1.200,1.200,1.200,1.200,1.200,1.200,523.1E-9,205.6E-9,1.200,1.200,1.200
3.554E-9,1.200,1.200,1.200,1.200,1.200,1.200,499.6E-9,189.0E-9,1.200,1.200,1.200
4.696E-9,1.200,1.200,1.200,1.200,1.200,1.200,473.6E-9,171.4E-9,1.200,1.200,1.200
6.275E-9,1.200,1.200,1.200,1.200,1.200,1.200,463.8E-9,164.2E-9,1.200,1.200,1.200
8.503E-9,1.200,1.200,1.200,1.200,1.200,1.200,447.5E-9,153.3E-9,1.200,1.200,1.200
10.20E-9,1.200,1.200,1.200,1.200,1.200,1.200,447.8E-9,153.2E-9,1.200,1.200,1.200
10.21E-9,1.125,1.200,1.200,1.200,1.200,1.200,-1.486E-6,-1.348E-6,1.200,1.200,1.200
10.23E-9,1.006,1.200,1.200,1.200,1.200,1.200,-4.177E-6,-3.693E-6,1.200,1.200,1.200
10.24E-9,946.2E-3,1.200,1.200,1.200,1.200,1.200,-5.459E-6,-4.886E-6,1.200,1.200,1.200
10.26E-9,827.0E-3,1.200,1.200,1.200,1.200,1.200,-7.724E-6,-6.965E-6,1.200,1.200,1.200
10.28E-9,736.4E-3,1.200,1.200,1.200,1.200,1.200,-8.943E-6,-8.099E-6,1.200,1.200,1.200
10.30E-9,605.1E-3,1.200,1.200,1.200,1.200,1.200,-8.944E-6,-8.159E-6,1.200,1.200,1.200
10.31E-9,542.1E-3,1.200,1.200,1.200,1.200,1.200,-8.064E-6,-7.412E-6,1.200,1.200,1.200
10.32E-9,472.5E-3,1.200,1.200,1.200,1.200,1.200,-6.395E-6,-6.041E-6,1.200,1.200,1.200
10.33E-9,418.7E-3,1.200,1.200,1.200,1.200,1.200,-4.512E-6,-4.521E-6,1.200,1.200,1.200
10.33E-9,396.8E-3,1.200,1.200,1.200,1.200,1.200,-3.484E-6,-3.691E-6,1.200,1.200,1.200
10.34E-9,379.4E-3,1.200,1.200,1.200,1.200,1.200,-2.447E-6,-2.836E-6,1.200,1.200,1.200
10.34E-9,362.3E-3,1.200,1.200,1.200,1.200,1.200,-1.044E-6,-1.657E-6,1.200,1.200,1.200
10.34E-9,344.3E-3,1.200,1.200,1.200,1.200,1.200,1.099E-6,195.4E-9,1.200,1.200,1.200
10.35E-9,327.6E-3,1.200,1.200,1.200,1.200,1.200,3.981E-6,2.722E-6,1.200,1.200,1.200
10.35E-9,317.2E-3,1.200,1.200,1.200,1.200,1.200,6.172E-6,4.688E-6,1.200,1.200,1.200
10.35E-9,304.7E-3,1.200,1.200,1.200,1.200,1.200,9.122E-6,7.413E-6,1.200,1.200,1.200
10.35E-9,294.7E-3,1.200,1.200,1.200,1.200,1.200,11.86E-6,9.947E-6,1.200,1.200,1.200
10.35E-9,286.9E-3,1.200,1.200,1.200,1.200,1.200,14.10E-6,12.04E-6,1.200,1.200,1.200
10.35E-9,278.7E-3,1.200,1.200,1.200,1.200,1.200,16.49E-6,14.33E-6,1.200,1.200,1.200
10.35E-9,270.5E-3,1.200,1.200,1.200,1.200,1.200,18.92E-6,16.69E-6,1.200,1.200,1.200
10.36E-9,263.9E-3,1.200,1.200,1.200,1.200,1.200,20.96E-6,18.65E-6,1.200,1.200,1.200
10.36E-9,255.7E-3,1.200,1.200,1.200,1.200,1.200,23.60E-6,21.14E-6,1.200,1.200,1.200
10.36E-9,248.4E-3,1.200,1.200,1.200,1.200,1.200,26.00E-6,23.39E-6,1.200,1.200,1.200
10.36E-9,240.1E-3,1.200,1.200,1.200,1.200,1.200,28.81E-6,25.97E-6,1.200,1.200,1.200
10.36E-9,226.8E-3,1.200,1.200,1.200,1.200,1.200,33.35E-6,30.15E-6,1.200,1.200,1.200
10.36E-9,216.9E-3,1.200,1.200,1.200,1.200,1.200,36.69E-6,33.23E-6,1.200,1.200,1.200
10.37E-9,206.3E-3,1.200,1.200,1.200,1.200,1.200,40.18E-6,36.45E-6,1.200,1.200,1.200
10.37E-9,195.9E-3,1.200,1.200,1.200,1.200,1.200,43.62E-6,39.60E-6,1.200,1.200,1.200
10.37E-9,184.9E-3,1.200,1.200,1.200,1.200,1.200,47.35E-6,42.95E-6,1.200,1.200,1.200
10.37E-9,176.7E-3,1.200,1.200,1.200,1.200,1.200,50.11E-6,45.40E-6,1.200,1.200,1.200
10.37E-9,168.0E-3,1.200,1.200,1.200,1.200,1.200,52.97E-6,47.94E-6,1.200,1.200,1.200
10.37E-9,160.6E-3,1.200,1.200,1.200,1.200,1.200,55.33E-6,50.03E-6,1.200,1.200,1.200
10.37E-9,150.8E-3,1.200,1.200,1.200,1.200,1.200,58.31E-6,52.69E-6,1.200,1.200,1.200
10.38E-9,139.5E-3,1.200,1.200,1.200,1.200,1.200,61.50E-6,55.56E-6,1.200,1.200,1.200
10.38E-9,128.8E-3,1.200,1.200,1.200,1.200,1.200,64.29E-6,58.09E-6,1.200,1.200,1.200
10.38E-9,117.4E-3,1.200,1.200,1.200,1.200,1.200,67.04E-6,60.59E-6,1.200,1.200,1.200
10.38E-9,103.2E-3,1.200,1.200,1.200,1.200,1.200,70.22E-6,63.45E-6,1.200,1.200,1.200
10.39E-9,85.47E-3,1.200,1.200,1.200,1.200,1.200,73.93E-6,66.74E-6,1.200,1.200,1.200
10.39E-9,70.79E-3,1.200,1.200,1.200,1.200,1.200,76.97E-6,69.41E-6,1.200,1.200,1.200
10.39E-9,59.62E-3,1.200,1.200,1.200,1.200,1.200,79.30E-6,71.47E-6,1.200,1.200,1.200
10.39E-9,51.03E-3,1.200,1.200,1.200,1.200,1.200,81.07E-6,73.09E-6,1.200,1.200,1.200
10.39E-9,41.29E-3,1.200,1.200,1.200,1.200,1.200,82.98E-6,74.92E-6,1.200,1.200,1.200
10.39E-9,33.35E-3,1.200,1.200,1.200,1.200,1.200,84.52E-6,76.43E-6,1.200,1.200,1.200
10.40E-9,27.36E-3,1.200,1.200,1.200,1.200,1.200,85.75E-6,77.60E-6,1.200,1.200,1.200
10.40E-9,20.15E-3,1.200,1.200,1.200,1.200,1.200,87.38E-6,78.97E-6,1.200,1.200,1.200
10.40E-9,14.60E-3,1.200,1.200,1.200,1.200,1.200,88.70E-6,79.87E-6,1.200,1.200,1.200
10.40E-9,8.035E-3,1.200,1.200,1.200,1.200,1.200,90.27E-6,80.70E-6,1.200,1.200,1.200
10.40E-9,0.000,1.200,1.200,1.200,1.200,1.200,92.13E-6,81.54E-6,1.200,1.200,1.200
10.40E-9,0.000,1.200,1.200,1.200,1.200,1.200,94.00E-6,82.52E-6,1.200,1.200,1.200
10.40E-9,0.000,1.200,1.200,1.200,1.200,1.200,94.57E-6,82.82E-6,1.200,1.200,1.200
10.40E-9,0.000,1.200,1.200,1.200,1.200,1.200,95.64E-6,83.43E-6,1.200,1.200,1.200
10.40E-9,0.000,1.200,1.200,1.200,1.200,1.200,97.69E-6,84.72E-6,1.200,1.200,1.200
10.41E-9,0.000,1.200,1.200,1.200,1.200,1.200,100.6E-6,87.04E-6,1.200,1.200,1.200
10.41E-9,0.000,1.200,1.200,1.200,1.200,1.200,104.0E-6,92.42E-6,1.200,1.200,1.200
10.41E-9,0.000,1.200,1.200,1.200,1.200,1.200,107.6E-6,105.7E-6,1.200,1.200,1.200
10.41E-9,0.000,1.200,1.200,1.200,1.200,1.200,111.2E-6,127.3E-6,1.200,1.200,1.200
10.42E-9,0.000,1.200,1.200,1.200,1.200,1.200,114.4E-6,150.7E-6,1.200,1.200,1.200
10.42E-9,0.000,1.200,1.200,1.200,1.200,1.200,117.7E-6,175.7E-6,1.200,1.200,1.200
10.42E-9,0.000,1.200,1.200,1.200,1.200,1.200,120.5E-6,197.1E-6,1.200,1.200,1.200
10.43E-9,0.000,1.200,1.200,1.200,1.200,1.200,122.8E-6,216.6E-6,1.200,1.200,1.200
10.43E-9,0.000,1.200,1.200,1.200,1.200,1.200,124.8E-6,236.0E-6,1.200,1.200,1.200
10.43E-9,0.000,1.200,1.200,1.200,1.200,1.200,126.3E-6,249.4E-6,1.200,1.200,1.200
10.43E-9,0.000,1.200,1.200,1.200,1.200,1.200,128.2E-6,256.9E-6,1.200,1.200,1.200
10.44E-9,0.000,1.200,1.200,1.200,1.200,1.200,130.0E-6,245.5E-6,1.200,1.200,1.200
10.44E-9,0.000,1.200,1.200,1.200,1.200,1.200,132.0E-6,195.2E-6,1.200,1.200,1.200
10.44E-9,0.000,1.200,1.200,1.200,1.200,1.200,134.3E-6,61.52E-6,1.200,1.200,1.200
10.44E-9,0.000,1.200,1.200,1.200,1.200,1.200,136.8E-6,-194.7E-6,1.200,1.200,1.200
10.45E-9,0.000,1.200,1.200,1.200,1.200,1.200,139.4E-6,-538.3E-6,1.200,1.200,1.200
10.45E-9,0.000,1.200,1.200,1.200,1.200,1.200,142.2E-6,-1.010E-3,1.200,1.200,1.200
10.45E-9,0.000,1.200,1.200,1.200,1.200,1.200,145.2E-6,-1.616E-3,1.200,1.200,1.200
10.45E-9,0.000,1.200,1.200,1.200,1.200,1.200,147.8E-6,-2.334E-3,1.200,1.200,1.200
