time (s),OP0 (V),OP1 (V),OP2 (V),B0 (V),B1 (V),ena (V),V01 (V),V2 (V),V3 (V)
80.20E-9,1.193,1.193,1.193,1.200,1.200,1.200,1.200,1.200,142.6E-6
80.20E-9,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,143.6E-6
80.20E-9,1.200,1.200,1.200,1.190,1.200,1.200,1.200,1.200,144.6E-6
80.20E-9,1.200,1.200,1.200,1.179,1.200,1.200,1.200,1.200,145.8E-6
80.21E-9,1.200,1.200,1.200,1.168,1.200,1.200,1.200,1.200,147.2E-6
80.21E-9,1.200,1.200,1.200,1.149,1.200,1.200,1.200,1.200,149.5E-6
80.21E-9,1.200,1.200,1.200,1.128,1.200,1.200,1.200,1.200,152.4E-6
80.22E-9,1.200,1.200,1.200,1.107,1.200,1.200,1.200,1.200,155.9E-6
80.22E-9,1.200,1.200,1.200,1.092,1.200,1.200,1.200,1.200,158.9E-6
80.22E-9,1.200,1.200,1.200,1.076,1.200,1.200,1.200,1.200,162.5E-6
80.22E-9,1.200,1.200,1.200,1.063,1.200,1.200,1.200,1.200,165.8E-6
80.23E-9,1.200,1.200,1.200,1.049,1.200,1.200,1.200,1.200,169.5E-6
80.23E-9,1.200,1.200,1.200,1.034,1.200,1.200,1.200,1.200,173.3E-6
80.23E-9,1.200,1.200,1.200,1.019,1.200,1.200,1.200,1.200,176.9E-6
80.23E-9,1.200,1.200,1.200,1.005,1.200,1.200,1.200,1.200,180.1E-6
80.24E-9,1.200,1.200,1.200,989.0E-3,1.200,1.200,1.200,1.200,183.9E-6
80.24E-9,1.200,1.200,1.200,975.2E-3,1.200,1.200,1.200,1.200,187.1E-6
80.24E-9,1.200,1.200,1.200,961.8E-3,1.200,1.200,1.200,1.200,190.2E-6
80.24E-9,1.200,1.200,1.200,948.5E-3,1.200,1.200,1.200,1.200,193.2E-6
80.24E-9,1.200,1.200,1.200,934.9E-3,1.200,1.200,1.200,1.200,196.1E-6
80.25E-9,1.200,1.200,1.200,919.2E-3,1.200,1.200,1.200,1.200,199.2E-6
80.25E-9,1.200,1.200,1.200,904.0E-3,1.200,1.200,1.200,1.200,202.0E-6
80.25E-9,1.200,1.200,1.200,887.2E-3,1.200,1.200,1.200,1.200,204.9E-6
80.25E-9,1.200,1.200,1.200,872.7E-3,1.200,1.200,1.200,1.200,207.4E-6
80.26E-9,1.200,1.200,1.200,858.3E-3,1.200,1.200,1.200,1.200,209.8E-6
80.26E-9,1.200,1.200,1.200,844.9E-3,1.200,1.200,1.200,1.200,212.0E-6
80.26E-9,1.200,1.200,1.200,830.5E-3,1.200,1.200,1.200,1.200,214.4E-6
80.26E-9,1.200,1.200,1.200,814.5E-3,1.200,1.200,1.200,1.200,217.3E-6
80.27E-9,1.200,1.200,1.200,799.0E-3,1.200,1.200,1.200,1.200,220.3E-6
80.27E-9,1.200,1.200,1.200,786.1E-3,1.200,1.200,1.200,1.200,223.0E-6
80.27E-9,1.200,1.200,1.200,775.0E-3,1.200,1.200,1.200,1.200,225.4E-6
80.27E-9,1.200,1.200,1.200,764.3E-3,1.200,1.200,1.200,1.200,227.8E-6
80.27E-9,1.200,1.200,1.200,754.3E-3,1.200,1.200,1.200,1.200,230.2E-6
80.28E-9,1.200,1.200,1.200,745.9E-3,1.200,1.200,1.200,1.200,232.2E-6
80.28E-9,1.200,1.200,1.200,738.8E-3,1.200,1.200,1.200,1.200,233.9E-6
80.28E-9,1.200,1.200,1.200,731.8E-3,1.200,1.200,1.200,1.200,235.5E-6
80.28E-9,1.200,1.200,1.200,724.3E-3,1.200,1.200,1.200,1.200,237.3E-6
80.28E-9,1.200,1.200,1.200,715.1E-3,1.200,1.200,1.200,1.200,239.5E-6
80.28E-9,1.200,1.200,1.200,704.6E-3,1.200,1.200,1.200,1.200,241.9E-6
80.28E-9,1.200,1.200,1.200,694.7E-3,1.200,1.200,1.200,1.200,244.1E-6
80.29E-9,1.200,1.200,1.200,683.3E-3,1.200,1.200,1.200,1.200,246.4E-6
80.29E-9,1.200,1.200,1.200,672.0E-3,1.200,1.200,1.200,1.200,248.5E-6
80.29E-9,1.200,1.200,1.200,660.6E-3,1.200,1.200,1.200,1.200,250.6E-6
80.29E-9,1.200,1.200,1.200,650.7E-3,1.200,1.200,1.200,1.200,252.2E-6
80.29E-9,1.200,1.200,1.200,642.2E-3,1.200,1.200,1.200,1.200,253.6E-6
80.29E-9,1.200,1.200,1.200,630.5E-3,1.200,1.200,1.200,1.200,255.3E-6
80.30E-9,1.200,1.200,1.200,621.4E-3,1.200,1.200,1.200,1.200,256.7E-6
80.30E-9,1.200,1.200,1.200,611.6E-3,1.200,1.200,1.200,1.200,258.2E-6
80.30E-9,1.200,1.200,1.200,603.3E-3,1.200,1.200,1.200,1.200,259.5E-6
80.30E-9,1.200,1.200,1.200,594.2E-3,1.200,1.200,1.200,1.200,260.8E-6
80.30E-9,1.200,1.200,1.200,585.6E-3,1.200,1.200,1.200,1.200,262.0E-6
80.30E-9,1.200,1.200,1.200,576.4E-3,1.200,1.200,1.200,1.200,263.3E-6
80.31E-9,1.200,1.200,1.200,566.6E-3,1.200,1.200,1.200,1.200,264.7E-6
80.31E-9,1.200,1.200,1.200,553.2E-3,1.200,1.200,1.200,1.200,266.7E-6
80.31E-9,1.200,1.200,1.200,539.8E-3,1.200,1.200,1.200,1.200,268.7E-6
80.31E-9,1.200,1.200,1.200,523.8E-3,1.200,1.200,1.200,1.200,271.3E-6
80.31E-9,1.200,1.200,1.200,512.6E-3,1.200,1.200,1.200,1.200,273.3E-6
80.32E-9,1.200,1.200,1.200,499.8E-3,1.200,1.200,1.200,1.200,275.6E-6
80.32E-9,1.200,1.200,1.200,489.1E-3,1.200,1.200,1.200,1.200,277.5E-6
80.32E-9,1.200,1.200,1.200,479.9E-3,1.200,1.200,1.200,1.200,279.2E-6
80.32E-9,1.200,1.200,1.200,469.0E-3,1.200,1.200,1.200,1.200,281.1E-6
80.32E-9,1.200,1.200,1.200,460.2E-3,1.200,1.200,1.200,1.200,282.6E-6
80.32E-9,1.200,1.200,1.200,450.2E-3,1.200,1.200,1.200,1.200,284.2E-6
80.33E-9,1.200,1.200,1.200,441.4E-3,1.200,1.200,1.200,1.200,285.5E-6
80.33E-9,1.200,1.200,1.200,432.4E-3,1.200,1.200,1.200,1.200,286.8E-6
80.33E-9,1.200,1.200,1.200,423.3E-3,1.200,1.200,1.200,1.200,288.0E-6
80.33E-9,1.200,1.200,1.200,412.1E-3,1.200,1.200,1.200,1.200,289.4E-6
80.33E-9,1.200,1.200,1.200,395.4E-3,1.200,1.200,1.200,1.200,291.4E-6
80.34E-9,1.200,1.200,1.200,383.5E-3,1.200,1.200,1.200,1.200,292.6E-6
80.34E-9,1.200,1.200,1.200,368.4E-3,1.200,1.200,1.200,1.200,293.8E-6
80.34E-9,1.200,1.200,1.200,353.4E-3,1.200,1.200,1.200,1.200,294.9E-6
80.34E-9,1.200,1.200,1.200,339.6E-3,1.200,1.200,1.200,1.200,295.8E-6
80.35E-9,1.200,1.200,1.200,324.8E-3,1.200,1.200,1.200,1.200,296.6E-6
80.35E-9,1.200,1.200,1.200,312.2E-3,1.200,1.200,1.200,1.200,297.3E-6
80.35E-9,1.200,1.200,1.200,299.7E-3,1.200,1.200,1.200,1.200,297.9E-6
80.35E-9,1.200,1.200,1.200,286.8E-3,1.200,1.200,1.200,1.200,298.6E-6
80.35E-9,1.200,1.200,1.200,272.0E-3,1.200,1.200,1.200,1.200,299.3E-6
80.36E-9,1.200,1.200,1.200,256.5E-3,1.200,1.200,1.200,1.200,299.9E-6
80.36E-9,1.200,1.200,1.200,242.5E-3,1.200,1.200,1.200,1.201,300.5E-6
80.36E-9,1.200,1.200,1.200,227.8E-3,1.200,1.200,1.200,1.201,301.1E-6
80.36E-9,1.200,1.200,1.200,216.7E-3,1.200,1.200,1.200,1.201,301.5E-6
80.37E-9,1.200,1.200,1.200,207.6E-3,1.200,1.200,1.200,1.202,302.0E-6
80.37E-9,1.200,1.200,1.200,201.5E-3,1.200,1.200,1.200,1.202,302.4E-6
80.37E-9,1.200,1.200,1.200,194.5E-3,1.200,1.200,1.200,1.202,302.9E-6
80.37E-9,1.200,1.200,1.200,188.7E-3,1.200,1.200,1.200,1.202,303.4E-6
80.37E-9,1.200,1.200,1.200,181.2E-3,1.200,1.200,1.200,1.202,304.1E-6
80.37E-9,1.200,1.200,1.200,172.5E-3,1.200,1.200,1.200,1.202,305.1E-6
80.37E-9,1.200,1.200,1.200,164.7E-3,1.200,1.200,1.200,1.202,306.1E-6
80.37E-9,1.200,1.200,1.200,155.9E-3,1.200,1.200,1.200,1.202,307.3E-6
80.38E-9,1.200,1.200,1.200,144.4E-3,1.200,1.200,1.200,1.200,309.2E-6
80.38E-9,1.200,1.200,1.200,133.4E-3,1.200,1.200,1.200,1.198,311.1E-6
80.38E-9,1.200,1.200,1.200,121.7E-3,1.200,1.200,1.200,1.195,313.3E-6
80.38E-9,1.200,1.200,1.200,108.8E-3,1.200,1.200,1.200,1.191,315.8E-6
80.38E-9,1.200,1.200,1.200,96.27E-3,1.200,1.200,1.200,1.186,318.1E-6
80.39E-9,1.200,1.200,1.200,83.41E-3,1.200,1.200,1.200,1.181,320.2E-6
80.39E-9,1.200,1.200,1.200,67.76E-3,1.200,1.200,1.200,1.174,322.3E-6
80.39E-9,1.200,1.200,1.200,52.21E-3,1.200,1.200,1.200,1.166,323.9E-6
80.39E-9,1.200,1.200,1.200,35.70E-3,1.200,1.200,1.200,1.159,325.3E-6
80.40E-9,1.200,1.200,1.200,18.58E-3,1.200,1.200,1.200,1.150,326.3E-6
80.40E-9,1.200,1.200,1.200,9.291E-3,1.200,1.200,1.200,1.146,326.6E-6
80.40E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.141,326.7E-6
80.40E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.138,326.8E-6
80.40E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.136,326.7E-6
80.40E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.134,326.6E-6
80.40E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.129,326.2E-6
80.41E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.122,325.0E-6
80.41E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.116,323.6E-6
80.41E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.111,322.2E-6
80.41E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.106,320.7E-6
80.41E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.104,319.9E-6
80.41E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.101,319.0E-6
80.41E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.098,318.0E-6
80.42E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.096,317.2E-6
80.42E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.093,316.2E-6
80.42E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.091,315.2E-6
80.42E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.087,313.9E-6
80.42E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.083,312.1E-6
80.42E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.077,309.9E-6
80.42E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.070,307.1E-6
80.43E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.060,302.9E-6
80.43E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.050,298.8E-6
80.43E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.042,295.6E-6
80.44E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.034,292.3E-6
80.44E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.027,289.6E-6
80.44E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.020,287.0E-6
80.44E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.012,283.9E-6
80.45E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.004,280.9E-6
80.45E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,996.1E-3,277.7E-6
80.45E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,987.2E-3,274.1E-6
80.46E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,976.8E-3,269.7E-6
80.46E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,966.4E-3,265.1E-6
80.46E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,953.4E-3,259.3E-6
80.47E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,942.3E-3,254.2E-6
80.47E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,930.9E-3,248.9E-6
80.48E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,918.3E-3,243.2E-6
80.48E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,902.9E-3,236.3E-6
80.49E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,882.7E-3,227.5E-6
80.50E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,859.6E-3,217.7E-6
80.51E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,832.1E-3,206.7E-6
80.52E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,800.8E-3,195.1E-6
80.53E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,764.2E-3,182.5E-6
80.55E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,720.4E-3,169.0E-6
80.57E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,665.5E-3,154.2E-6
80.60E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,597.3E-3,138.5E-6
80.63E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,512.6E-3,122.5E-6
80.68E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,404.5E-3,105.8E-6
80.74E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,275.8E-3,88.01E-6
80.83E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,144.6E-3,65.78E-6
80.92E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,66.50E-3,44.18E-6
80.96E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,45.74E-3,35.32E-6
81.04E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,20.54E-3,21.27E-6
81.12E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,8.999E-3,11.99E-6
81.22E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,3.068E-3,5.472E-6
81.34E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,889.6E-6,2.153E-6
81.48E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,136.6E-6,588.6E-9
81.69E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,-389.7E-9,143.3E-9
82.01E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,227.6E-9,101.6E-9
82.58E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,43.09E-9,93.71E-9
83.45E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,105.8E-9,77.96E-9
84.62E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,56.50E-9,72.89E-9
86.21E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,74.79E-9,65.29E-9
88.44E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,56.28E-9,63.05E-9
90.20E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,61.99E-9,59.71E-9
90.25E-9,900.0E-3,1.200,1.200,0.000,1.200,1.200,1.200,-3.217E-6,-3.472E-6
90.30E-9,597.4E-3,1.200,1.200,0.000,1.200,1.200,1.200,-4.930E-6,-5.314E-6
90.33E-9,448.0E-3,1.200,1.200,0.000,1.200,1.200,1.200,-4.205E-6,-4.548E-6
90.34E-9,346.3E-3,1.200,1.200,0.000,1.200,1.200,1.200,-2.908E-6,-3.180E-6
90.36E-9,245.2E-3,1.200,1.200,0.000,1.200,1.200,1.200,-1.153E-6,-1.333E-6
90.36E-9,216.1E-3,1.200,1.200,0.000,1.200,1.200,1.200,-573.8E-9,-722.5E-9
90.37E-9,157.9E-3,1.200,1.200,0.000,1.200,1.200,1.200,734.5E-9,662.4E-9
90.38E-9,103.3E-3,1.200,1.200,0.000,1.200,1.200,1.200,2.917E-6,3.015E-6
90.39E-9,62.32E-3,1.200,1.200,0.000,1.200,1.200,1.200,5.972E-6,6.343E-6
90.40E-9,27.65E-3,1.200,1.200,0.000,1.200,1.200,1.200,9.720E-6,10.44E-6
90.40E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,13.25E-6,14.31E-6
90.40E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,14.55E-6,15.73E-6
90.40E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,16.36E-6,17.70E-6
90.41E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,18.21E-6,19.73E-6
90.41E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,20.78E-6,22.54E-6
90.41E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,23.34E-6,25.34E-6
90.41E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,26.64E-6,28.93E-6
90.42E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,29.49E-6,32.05E-6
90.42E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,33.39E-6,36.31E-6
90.43E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,37.60E-6,40.90E-6
90.43E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,41.60E-6,45.27E-6
90.43E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,44.84E-6,48.81E-6
90.44E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,47.52E-6,51.73E-6
90.44E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,50.17E-6,54.61E-6
90.45E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,52.41E-6,57.04E-6
90.45E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,54.84E-6,59.65E-6
90.46E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,56.83E-6,61.76E-6
90.46E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,57.48E-6,62.44E-6
90.47E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,57.86E-6,62.83E-6
90.47E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,58.14E-6,63.11E-6
90.47E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,58.41E-6,63.38E-6
90.47E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,58.63E-6,63.58E-6
90.47E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,58.80E-6,63.75E-6
90.47E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,59.12E-6,64.04E-6
90.48E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,59.42E-6,64.33E-6
90.48E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,59.86E-6,64.75E-6
90.48E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,60.56E-6,65.42E-6
90.48E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,61.08E-6,65.91E-6
90.48E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,61.75E-6,66.54E-6
90.49E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,62.66E-6,67.38E-6
90.49E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,63.73E-6,68.35E-6
90.49E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,64.77E-6,69.27E-6
90.50E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,65.68E-6,70.02E-6
90.50E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,66.15E-6,70.36E-6
90.51E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,66.33E-6,70.42E-6
90.51E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,66.33E-6,70.27E-6
90.51E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,66.14E-6,69.96E-6
90.52E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,65.75E-6,69.45E-6
90.52E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,65.30E-6,68.84E-6
90.53E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,65.49E-6,68.95E-6
90.53E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,66.01E-6,69.43E-6
90.53E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,66.74E-6,70.14E-6
90.54E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,67.40E-6,70.79E-6
90.54E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,67.83E-6,71.21E-6
90.54E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,68.13E-6,71.48E-6
90.54E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,68.38E-6,71.72E-6
90.55E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,68.54E-6,71.85E-6
90.55E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,68.54E-6,71.83E-6
90.55E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,68.27E-6,71.53E-6
90.55E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,67.76E-6,70.97E-6
90.56E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,67.06E-6,70.24E-6
90.56E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,66.30E-6,69.42E-6
90.56E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,65.34E-6,68.42E-6
90.56E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,63.82E-6,66.81E-6
90.57E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,62.57E-6,65.50E-6
90.57E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,61.15E-6,64.00E-6
90.57E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,59.11E-6,61.87E-6
90.58E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,57.53E-6,60.21E-6
90.58E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,55.65E-6,58.24E-6
90.58E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,53.51E-6,56.00E-6
90.59E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,50.81E-6,53.17E-6
90.60E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,47.57E-6,49.78E-6
90.61E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,43.44E-6,45.45E-6
90.62E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,38.09E-6,39.85E-6
90.64E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,30.59E-6,32.00E-6
90.68E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,22.11E-6,23.12E-6
90.72E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,14.27E-6,14.92E-6
90.78E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,8.053E-6,8.419E-6
90.86E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,3.661E-6,3.825E-6
90.97E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,1.261E-6,1.316E-6
91.12E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,326.9E-9,338.9E-9
91.32E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,135.4E-9,139.0E-9
91.60E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,110.6E-9,113.2E-9
91.98E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,94.16E-9,96.06E-9
92.50E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,82.33E-9,83.74E-9
93.22E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,74.60E-9,75.70E-9
94.21E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,68.42E-9,69.27E-9
95.59E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,64.57E-9,65.26E-9
97.50E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,61.02E-9,61.58E-9
100.0E-9,0.000,1.200,1.200,0.000,1.200,1.200,1.200,59.12E-9,59.60E-9
100.1E-9,300.0E-3,1.200,1.200,0.000,1.200,1.200,1.200,1.180E-6,1.247E-6
100.1E-9,375.7E-3,1.200,1.200,0.000,1.200,1.200,1.200,1.478E-6,1.565E-6
100.1E-9,450.0E-3,1.200,1.200,0.000,1.200,1.200,1.200,1.857E-6,1.970E-6
100.1E-9,507.8E-3,1.200,1.200,0.000,1.200,1.200,1.200,2.312E-6,2.462E-6
100.1E-9,575.0E-3,1.200,1.200,0.000,1.200,1.200,1.200,3.218E-6,3.447E-6
100.1E-9,630.7E-3,1.200,1.200,0.000,1.200,1.200,1.200,4.448E-6,4.789E-6
100.1E-9,662.9E-3,1.200,1.200,0.000,1.200,1.200,1.200,5.410E-6,5.837E-6
100.1E-9,698.2E-3,1.200,1.200,0.000,1.200,1.200,1.200,6.700E-6,7.246E-6
100.1E-9,731.4E-3,1.200,1.200,0.000,1.200,1.200,1.200,8.238E-6,8.920E-6
100.1E-9,755.8E-3,1.200,1.200,0.000,1.200,1.200,1.200,9.594E-6,10.39E-6
100.1E-9,778.4E-3,1.200,1.200,0.000,1.200,1.200,1.200,11.02E-6,11.94E-6
100.1E-9,804.0E-3,1.200,1.200,0.000,1.200,1.200,1.200,12.81E-6,13.88E-6
100.1E-9,829.3E-3,1.200,1.200,0.000,1.200,1.200,1.200,14.74E-6,15.96E-6
100.1E-9,863.7E-3,1.200,1.200,0.000,1.200,1.200,1.200,17.60E-6,19.06E-6
100.2E-9,909.9E-3,1.200,1.200,0.000,1.200,1.200,1.200,21.80E-6,23.61E-6
100.2E-9,951.2E-3,1.200,1.200,0.000,1.200,1.200,1.200,25.60E-6,27.73E-6
100.2E-9,981.7E-3,1.200,1.200,0.000,1.200,1.200,1.200,28.21E-6,30.56E-6
100.2E-9,1.014,1.200,1.200,0.000,1.200,1.200,1.200,30.64E-6,33.20E-6
100.2E-9,1.045,1.200,1.200,0.000,1.200,1.200,1.200,32.56E-6,35.26E-6
100.2E-9,1.090,1.200,1.200,0.000,1.200,1.200,1.200,34.82E-6,37.68E-6
100.2E-9,1.141,1.200,1.200,0.000,1.200,1.200,1.200,36.78E-6,39.76E-6
100.2E-9,1.170,1.200,1.200,0.000,1.200,1.200,1.200,37.77E-6,40.79E-6
100.2E-9,1.200,1.200,1.200,0.000,1.200,1.200,1.200,38.68E-6,41.74E-6
100.2E-9,1.200,1.192,1.200,0.000,1.200,1.200,1.200,38.70E-6,41.76E-6
100.2E-9,1.200,1.177,1.200,0.000,1.200,1.200,1.200,38.80E-6,41.85E-6
100.2E-9,1.200,1.160,1.200,0.000,1.200,1.200,1.200,38.98E-6,42.00E-6
100.2E-9,1.200,1.148,1.200,0.000,1.200,1.200,1.200,39.18E-6,42.19E-6
100.2E-9,1.200,1.134,1.200,0.000,1.200,1.200,1.200,39.54E-6,42.54E-6
100.2E-9,1.200,1.120,1.200,0.000,1.200,1.200,1.200,40.02E-6,43.00E-6
100.2E-9,1.200,1.102,1.200,0.000,1.200,1.200,1.200,40.74E-6,43.69E-6
100.2E-9,1.200,1.086,1.200,0.000,1.200,1.200,1.200,41.43E-6,44.36E-6
100.2E-9,1.200,1.065,1.200,0.000,1.200,1.200,1.200,42.45E-6,45.34E-6
